代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,現金股利,成交價,董監持股,現金殖利率,ROE_5YF,EPS_5YF,毛利率_5YF,現金殖利率_F,股價_F,董監持股_F,Sum,判斷
5306,桂盟,21.71,8.67,43.18,3.69,140.5,38.65,2.63,1,1,1,0,0,1,4,1
5388,中磊,15.15,4.52,14.42,2.62,86.1,5.07,3.04,1,1,0,0,0,0,2,0
5434,崇越,18.07,8.36,12.26,6.56,157.0,10.26,4.18,1,1,0,0,0,1,3,0
5469,瀚宇博,7.84,3.95,16.05,1.57,30.2,26.1,5.2,1,1,0,1,1,1,5,1
5471,松翰,13.95,2.65,39.98,3.68,48.65,10.95,7.56,1,1,1,1,1,1,6,1
5484,慧友,-11.33,-0.91,19.0,0.32,13.6,24.18,2.35,0,0,0,0,1,1,2,0
5515,建國,4.17,0.65,8.97,0.67,11.45,27.02,5.85,0,1,0,1,1,1,4,1
5519,隆大,10.24,1.88,20.48,1.3,21.9,23.48,5.94,1,1,1,1,1,1,6,1
5521,工信,2.23,0.25,6.35,0.3,6.74,3.82,4.45,0,1,0,0,1,0,2,0
5522,遠雄,6.87,3.55,25.56,2.4,58.8,0.0,4.08,1,1,1,0,1,0,4,1
5525,順天,7.82,1.52,29.23,0.9,24.95,19.17,3.61,1,1,1,0,1,1,5,1
5531,鄉林,2.67,0.32,32.77,0.0,9.58,25.74,0.0,0,1,1,0,1,1,4,1
5533,皇鼎,3.2,0.82,25.76,0.7,17.1,10.08,4.09,0,1,1,0,1,1,4,1
5534,長虹,21.72,10.89,35.95,5.78,71.9,9.99,8.04,1,1,1,1,1,0,5,1
5538,東明-KY,14.0,3.15,15.95,2.2,43.0,25.61,5.12,1,1,0,1,1,1,5,1
5607,遠雄港,8.28,1.8,52.49,0.88,58.9,17.78,1.49,1,1,1,0,1,1,5,1
5608,四維航,-16.45,-2.49,-3.83,1.2,28.2,9.29,4.26,0,0,0,0,1,0,1,0
5706,鳳凰,12.93,2.32,16.51,1.24,58.6,28.6,2.12,1,1,0,0,1,1,4,1
5871,中租-KY,21.14,9.77,63.95,4.72,186.5,4.47,2.53,1,1,1,0,0,0,3,0
5876,上海商銀,0.0,3.16,0.0,1.87,48.85,3.24,3.83,0,1,0,0,1,0,2,0
5880,合庫金,7.52,1.23,0.0,0.84,25.8,27.68,3.26,1,1,0,0,1,1,4,1
5906,台南-KY,-8.81,-0.53,55.69,0.54,30.05,33.27,1.8,0,0,1,0,1,1,3,0
5907,大洋-KY,3.33,1.74,75.86,1.41,13.9,56.83,10.14,0,1,1,1,1,1,5,1
6005,群益證,7.57,1.04,0.0,0.83,10.4,3.26,7.98,1,1,0,1,1,0,4,1
6024,群益期,15.05,4.01,0.0,2.53,34.8,56.58,7.27,1,1,0,1,1,1,5,1
6108,競國,8.53,2.01,14.53,1.4,16.35,12.91,8.56,1,1,0,1,1,1,5,1
6112,邁達特,13.07,2.73,9.94,2.2,31.7,0.0,6.94,1,1,0,1,1,0,4,1
6115,鎰勝,11.06,2.99,20.14,2.92,41.15,11.82,7.1,1,1,1,1,1,1,6,1
6116,彩晶,8.37,1.03,23.7,0.56,12.25,12.3,4.57,1,1,1,0,1,1,5,1
6117,迎廣,-5.35,-0.69,16.4,0.47,14.45,37.97,3.25,0,0,0,0,1,1,2,0
6120,達運,-1.14,-0.15,4.34,0.4,9.36,28.65,4.27,0,0,0,0,1,1,2,0
6128,上福,12.29,2.74,39.3,1.58,28.1,28.05,5.62,1,1,1,1,1,1,6,1
6133,金橋,0.98,0.13,21.16,0.27,23.65,2.16,1.14,0,1,1,0,1,0,3,0
6136,富爾特,4.6,1.13,22.82,1.41,17.9,7.81,7.88,0,1,1,1,1,0,4,1
6139,亞翔,6.13,2.37,7.5,1.4,30.4,26.39,4.61,1,1,0,0,1,1,4,1
6141,柏承,8.74,1.34,15.12,0.5,20.0,10.83,2.5,1,1,0,0,1,1,4,1
6142,友勁,-8.7,-0.83,8.46,0.35,9.61,64.16,3.64,0,0,0,0,1,1,2,0
6152,百一,-9.02,-0.96,12.72,1.57,10.6,10.93,14.81,0,0,0,1,1,1,3,0
6153,嘉聯益,3.47,0.89,13.81,0.22,27.05,25.87,0.81,0,1,0,0,1,1,3,0
6155,鈞寶,5.24,0.85,26.52,0.82,20.8,22.8,3.94,1,1,1,0,1,1,5,1
6164,華興,1.34,0.19,27.8,0.56,10.2,11.39,5.49,0,1,1,1,1,1,5,1
6165,浪凡,-0.34,-0.03,10.29,0.01,25.6,0.08,0.04,0,0,0,0,1,0,1,0
6166,凌華,7.71,1.61,39.34,1.14,51.7,31.18,2.21,1,1,1,0,1,1,5,1
6168,宏齊,3.22,0.45,18.7,1.12,16.75,21.94,6.69,0,1,0,1,1,1,4,1
