代號,公司,股價
5514,三豐,18.2
5515,建國,11.35
5516,雙喜,17.7
5519,隆大,22.75
5520,力泰,55.1
5521,工信,6.64
5522,遠雄建,53.1
5523,豐謙,24.2
5525,順天,23.6
5529,鉅陞,12.9
5530,龍巖,37.05
5531,鄉林,9.46
5533,皇鼎,17.65
5534,長虹,71.2
5536,聖暉,105.5
5538,東明-KY,42.0
5543,崇佑-KY,53.0
5546,永固-KY,47.1
5601,台聯,35.0
5603,陸海,23.05
5604,中連貨,51.7
5607,遠雄港,51.7
5608,四維航,25.6
5609,中菲行,70.6
5701,劍湖山,2.97
5703,亞都,18.9
5704,老爺知,50.8
5706,鳳凰,58.2
5864,致和證,10.5
5871,中租-KY,209.5
5876,上海商銀,47.1
5878,台名,47.45
5880,合庫金,26.1
5902,德記,34.65
5903,全家,190.0
5904,寶雅,464.5
5905,南仁湖,12.0
