代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
2349,-10.62,-1.19,9.03,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2504,9.62,1.5,11.24,3.47,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2443,-32.98,-1.98,-9.78,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1506,-16.45,-1.1,8.88,0.0,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1467,-1.46,-0.16,20.02,3.39,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2029,5.22,1.49,9.82,4.05,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1446,-1.13,-0.13,19.03,0.82,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1519,7.77,1.0,14.05,1.99,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1514,8.45,1.24,16.51,2.15,-1,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6152,-8.4,-0.89,13.15,14.95,-1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y <= 20.335"
2498,-12.4,-5.66,16.53,26.23,-1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y <= 20.335"
1512,-71.55,-1.47,3.53,6.12,-1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y <= 20.335"
3060,-4.96,-1.04,7.67,9.5,-1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y <= 20.335"
1340,-1.69,-0.24,-13.0,9.4,-1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y <= 20.335"
3607,-13.63,-4.07,0.96,9.13,-1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y <= 20.335"
2485,-1.14,-0.19,6.19,6.72,-1,"ROE_5Y <= 10.035, 現金殖利率 >= 5.045, 毛利率_5Y <= 20.335"
