代碼,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,備註
4551,18.39,7.74,28.62,2.4,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5222,19.77,3.06,50.71,1.18,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2474,12.73,23.65,33.87,6.65,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3005,16.25,4.5,27.55,6.65,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6202,27.23,5.29,49.21,7.17,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6438,17.58,5.54,28.33,4.17,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3045,19.54,4.53,25.92,4.95,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9911,18.73,3.94,35.17,4.7,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6257,13.89,3.9,28.85,5.42,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9910,32.01,6.72,23.65,2.74,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1723,16.35,4.98,23.25,3.77,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9940,17.08,2.67,30.47,6.13,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1526,16.22,2.82,25.68,2.47,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2539,13.68,1.92,29.76,1.95,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8462,19.22,4.92,27.65,3.37,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2308,14.87,8.62,28.26,1.94,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5234,23.34,6.11,33.89,7.16,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2327,33.2,37.27,42.28,5.55,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1707,26.61,9.48,81.57,4.4,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8464,32.4,14.91,50.86,3.64,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4999,10.17,4.49,31.22,7.15,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2420,15.79,3.24,37.65,6.38,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6641,18.74,6.26,39.17,6.05,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4190,18.87,5.92,74.73,4.44,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1582,13.49,5.75,22.93,7.87,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4764,12.14,3.59,20.97,3.64,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5534,18.12,9.84,37.91,7.63,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8081,19.36,11.13,36.82,6.12,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5283,25.36,11.6,38.36,3.8,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2505,13.8,2.08,28.14,2.97,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1527,14.53,3.88,26.9,5.46,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2108,28.01,5.98,33.14,7.85,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2408,17.74,8.06,40.15,6.69,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2548,14.37,8.59,29.98,6.96,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6743,14.26,2.45,21.84,2.58,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4572,11.07,4.43,41.66,3.26,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8480,19.6,8.12,32.33,5.87,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2451,10.31,4.74,24.01,7.58,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4807,13.13,2.14,23.84,11.33,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4552,10.68,5.1,21.43,7.45,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4919,15.23,3.67,39.43,2.03,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2231,19.07,6.75,46.26,2.95,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5871,21.61,11.46,66.09,2.44,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1720,11.69,2.62,44.32,3.67,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6449,11.37,2.63,26.24,3.87,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6414,12.11,13.7,22.36,3.14,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1476,24.1,15.41,28.06,2.32,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3533,18.48,21.46,36.27,1.44,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6415,19.59,33.01,48.65,2.03,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4912,18.64,7.95,21.31,1.77,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6715,20.58,3.49,25.3,0.84,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6224,16.79,4.82,46.22,6.6,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3413,25.3,13.49,24.53,3.22,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5471,19.23,4.06,42.11,6.43,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1598,11.06,3.36,32.34,5.74,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6592,14.49,5.11,63.98,3.16,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3030,17.92,4.13,54.48,5.3,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2492,28.7,17.93,36.4,8.32,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5269,33.72,25.93,49.46,1.91,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3040,17.21,4.41,60.89,13.33,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9921,16.45,10.22,21.9,2.69,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3092,14.6,3.24,23.93,6.62,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2493,12.54,2.57,28.17,5.82,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6655,13.76,4.09,53.2,3.62,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2436,11.42,1.98,26.18,3.24,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6277,24.11,8.64,59.09,4.11,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2373,19.07,6.43,44.02,7.23,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6192,14.9,6.61,31.21,4.89,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2915,28.83,16.51,48.49,7.83,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9945,17.81,7.47,22.38,2.65,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6201,10.67,2.93,20.1,6.66,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8404,11.55,1.9,36.63,2.92,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3530,16.59,4.09,25.42,2.96,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6525,20.71,5.92,31.56,5.29,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2904,11.82,1.68,41.99,7.2,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2477,14.55,2.75,21.4,6.41,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2449,11.56,2.61,28.15,5.53,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6531,15.8,4.89,25.81,1.62,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2228,10.85,5.4,25.65,4.9,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1730,18.9,4.62,44.15,5.75,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9941,17.38,9.73,48.01,3.35,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8104,17.64,4.31,21.27,4.64,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2233,14.97,7.08,35.72,3.74,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3532,11.96,4.96,27.69,2.22,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
5519,11.31,2.17,20.64,5.96,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1817,13.58,3.13,32.32,5.75,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6581,20.35,5.41,51.75,4.21,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
3014,18.03,5.19,51.95,7.14,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
8499,24.11,9.93,49.13,5.72,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2912,33.5,13.63,33.89,4.3,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1904,12.44,2.74,22.08,4.96,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
6756,23.7,5.31,50.18,1.79,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2603,31.68,10.54,20.59,5.4,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
4977,15.54,5.12,24.32,3.42,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
9917,20.86,5.13,36.18,4.33,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
1537,22.77,10.74,22.37,6.6,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
2702,18.21,3.22,77.36,1.29,1,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
