判斷,ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼
5906,8.42,1.02,57.25,1.72,0,5906
3052,4.47,0.66,5.43,4.93,-1,3052
1423,4.52,0.86,-16.51,4.56,-1,1423
6271,9.63,7.98,26.69,2.84,0,6271
2305,5.45,0.52,32.17,0.0,0,2305
1233,7.91,1.34,57.08,4.39,0,1233
2402,1.48,0.28,9.32,4.5,-1,2402
1721,4.47,0.48,7.34,1.66,-1,1721
2349,-10.62,-1.19,9.03,0.0,-1,2349
2504,9.62,1.5,11.24,3.47,-1,2504
2443,-32.98,-1.98,-9.78,0.0,-1,2443
1587,5.4,1.01,22.96,2.65,0,1587
4994,6.02,0.89,62.59,3.45,0,4994
1506,-16.45,-1.1,8.88,0.0,-1,1506
2484,7.05,1.4,21.48,3.1,0,2484
1467,-1.46,-0.16,20.02,3.39,-1,1467
2427,5.21,0.62,29.42,2.62,0,2427
2029,5.22,1.49,9.82,4.05,-1,2029
3002,2.31,0.33,26.51,2.63,0,3002
1446,-1.13,-0.13,19.03,0.82,-1,1446
1519,7.77,1.0,14.05,1.99,-1,1519
1514,8.45,1.24,16.51,2.15,-1,1514
