代碼,股票,ROE_5Y,EPS_5Y,毛利率_5Y,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROE_2021,毛利率_2017,毛利率_2018,毛利率_2019,毛利率_2020,毛利率_2021,負債比_2017,負債比_2018,負債比_2019,負債比_2020,負債比_2021,稅後淨利率_2017,稅後淨利率_2018,稅後淨利率_2019,稅後淨利率_2020,稅後淨利率_2021,現金股利,成交價,董監持股,現金殖利率,ROE_Test,EPS_Test,毛利率_Test,現金殖利率_Test,成交價_Test,董監持股_Test,符合數量,正負樣本
1416,廣豐,0.12,0.07,-61.15,4.81,5.9,-3.28,-9.13,2.29,30.59,70.14,91.41,-528.08,30.17,50.98,44.48,45.3,49.83,10.23,9.92,92.27,-51.65,-1687.44,34.3,1.28,10.55,8.17,12.13,0,1,0,1,1,0,3,0
1417,嘉裕,-3.62,-0.4,24.97,-12.41,-6.77,9.74,-12.4,3.73,14.04,16.41,24.47,21.58,48.37,22.45,19.27,28.48,18.7,32.61,-22.58,-15.57,22.58,-34.08,7.39,0.37,10.15,11.6,3.65,0,0,1,0,1,1,3,0
1418,東華,-60.82,-4.53,-113.93,-164.12,-46.51,-28.84,-43.78,-20.87,-9.52,-17.17,-57.31,-185.29,-300.35,94.44,68.18,74.13,81.76,66.04,-19.64,-33.37,-101.21,-227.91,-428.94,0,14.3,54.77,0,0,0,0,0,1,1,2,-1
1419,新紡,6.16,1.82,25.76,14.4,3.16,4.42,4.09,4.72,19.22,25.53,28.55,28.99,26.52,32.86,31.28,32.35,33.08,37.95,82.83,17.37,18.18,16.96,16.4,1.52,38.5,0,3.95,0,1,1,0,1,0,3,0
1423,利華,4.52,0.86,-16.51,1.78,4.1,-1.52,13.21,5.03,5.74,10.16,-10.74,-72.64,-15.05,8.32,8.78,8.56,9.97,9.05,6.74,13.49,-7.95,174.63,80.96,0.89,19.35,25.88,4.6,0,1,0,0,1,1,3,0
1432,大魯閣,-16.24,-1.41,73.41,-7.88,-11.42,-43.64,1.66,-19.93,90.52,71.89,85.37,86.49,32.76,36.94,27.11,80.6,83.43,84.31,-15.31,-21.32,-55.16,1.37,-20.02,0.8,12.3,11.03,6.5,0,0,1,1,1,1,4,0
1434,福懋,5.8,2.19,11.58,6.64,7.18,8.38,3.33,3.46,12.62,11.86,10.23,10.47,12.72,22.72,19.41,20.48,22.63,23.48,11.69,11.94,15.86,7.28,6.53,1.7,26.95,0,6.31,0,1,0,1,1,0,3,0
1435,中福,-0.16,-0.01,93.3,0.08,-1.35,2.31,-2.47,0.65,92.69,94.39,94.03,93.25,92.13,15.32,16,15.73,17.63,11.93,2.06,-40.76,97.38,-142.4,48.41,0,0,0,0,0,0,1,0,1,0,2,-1
1436,華友聯,11.33,3.41,28.63,10.1,14.1,8.83,6.65,16.98,24.63,27.04,28,30.28,33.18,65.5,67.3,71.9,76.81,77.94,10.72,13.63,11.31,11.01,18.86,2.63,56.2,0,4.68,1,1,1,0,1,0,4,0
1437,勤益控,7.49,2.23,69.77,5.94,4.46,14.59,5.53,6.95,69.94,70.17,66.42,74.16,68.15,43.81,43.99,40.95,43.07,43.15,56.56,42.81,154.51,58.97,65.65,0.74,24.4,0,3.03,0,1,1,0,1,0,3,0
1438,三地開發,1.37,0.15,-95.74,-1.03,-2.24,-2.02,8.55,3.6,-58.14,-211.76,-327.27,64.51,53.97,11.58,11.78,11.92,69.98,78.82,-12951.16,-69876.47,-95627.27,46.65,244.71,0,32.25,0,0,0,1,0,0,1,0,2,-1
